,id,name,street_address,zipcode,austin_area,untappd_website,latitude,longitude
42,42,Zilker Brewing,1701 E 6th Street,78702,East,https://untappd.com/ZilkerBrewingCompany/beer,30.2621351,-97.7245464
43,43,12 Fox Beer Company,4700 W Fitzhugh Road,78620,West,https://untappd.com/12FoxBeer/beer,30.2568713,-98.14433869999999
44,44,Acopon Brewing,211 W. Mercer Street,78620,West,https://untappd.com/AcoponBrewingCompany/beer,30.1925371,-98.0891063
45,45,Beerburg Brewing,13476 Fitzhugh Rd,78736,West,https://untappd.com/BeerburgBrewing/beer,30.2350654,-98.004425
46,46,Family Business Beer,19510 Hamilton Pool Road,78620,West,https://untappd.com/w/family-business-beer-company/378401/beer,30.292163,-98.077812
47,47,Infamous Brewing Company,4602 Weletka Drive,78734,West,https://untappd.com/InfamousBrewing/beer,30.4068746,-97.9258875
48,48,Jester King Brewery,13187 Fitzhugh Road,78736,West,https://untappd.com/jesterking/beer,30.230275,-97.9996111
49,49,Last Stand Brewing,12345 Pauls Valley Road,78737,West,https://untappd.com/LastStandBrewing/beer,30.2351316,-98.01035279999999
50,50,Oasis Texas Brewing,6550 Comanche Trail,78732,West,https://untappd.com/oasistxbrewing/beer,30.4060122,-97.874192
51,51,One Shot Distillery & Brewery,31610 Ranch Road 12,78620,West,https://untappd.com/OneShotBrewery/beer,30.2507263,-98.0568349
52,52,Suds Monkey Brewing ,1032 Canyon Bend Drive,78620,West,https://untappd.com/SudsMonkeyBrewingCompany/beer,30.1947115,-98.0243086
53,53,Twisted X Brewing,23455 Ranch to Market Road 150,78620,West,https://untappd.com/TwistedXBrewingCompany/beer,30.1651041,-98.0847108
54,54,Vista Brewing,13551 Ranch to Market Road 150,78619,West,https://untappd.com/VistaBrewing/beer,30.1044526,-98.0196187
