brewery_id,name,type,abv,ibu,rating,rating_count
34,Citra Pale Ale,Pale Ale - American,5.5,,3.64,110
34,Pale Ale,Pale Ale - American,5.5,25.0,3.6,152
34,CMW Kolsch,Kölsch,5.0,,3.59,65
34,American Lager,Lager - American,5.2,,3.57,97
35,Batkeeper,Stout - American,9.5,,4.13,143
35,F&A Hazy IPA,IPA - New England,7.24,,4.05,38
35,Bat Wing,Stout - American,9.0,,3.86,431
35,Old Tactician,Belgian Quadrupel,10.0,20.0,3.84,237
35,Bearliner - Guava,Sour - Fruited Berliner Weisse,4.5,,3.78,330
36,Barrel Aged Coconut Stout,Stout - American,10.0,20.0,4.22,43
36,S’mordecai,Stout - Other,7.0,,4.2,15
36,Barrel Aged Max Stout,Stout - American,6.6,,4.1,49
36,1 Year Anniversary Stout (Whiskey Barrel Aged),Stout - Other,6.6,,4.02,103
36,Barleywine (Barrel Aged),Barleywine - American,10.0,,3.99,71
37,Rum Barrel Aged Imperial Stout,Stout - Other,11.8,,4.24,38
37,Volumes Of Funk: 2011 OG Funk,American Wild Ale,6.0,,4.22,27
37,Volumes of Oak Bourbon Barrel Aged Barleywine,Barleywine - American,10.1,,4.2,37
37,Red River Whiskey Barrel Aged Red,Red Ale - American Amber / Red,,,4.18,15
37,Concentrated Dark Matter,Stout - Imperial / Double,9.2,55.0,4.17,63
38,Joshua,Barleywine - English,10.0,,4.21,100
38,Exodus,American Wild Ale,8.5,,4.13,177
38,Leviticus,Stout - Coffee,8.0,,4.09,159
38,Blushing Bride,Belgian Tripel,9.2,,4.06,273
38,Batch 200,Sour - Other,5.6,,4.06,173
39,Another Pils,Pilsner - German,4.2,,4.17,78
39,Kiwi Pils,Pilsner - Other,4.2,40.0,4.16,119
39,Black Is Beautiful,Lager - Dark,5.8,,4.15,135
39,Aurum Pils,Pilsner - German,4.5,36.0,4.14,88
39,The Other Pils,Pilsner - Other,4.5,40.0,4.1,49
40,Acid Western,Sour - Fruited,6.5,,4.28,125
40,Parsec (Batch #2),Farmhouse Ale - Saison,5.5,,4.25,12
40,Vermillionaire,Sour - Fruited,6.6,,4.24,225
40,Parsec,Farmhouse Ale - Saison,6.4,,4.2,68
40,Intonation BA Saison,Farmhouse Ale - Saison,6.8,,4.2,39
41,"It’s Probably Awesome... 10 (El Dorado, Citra, Citra Cryo, Mosaic Cryo and Vic Secret)",IPA - New England,6.7,,4.29,69
41,✌ & Hoppiness,IPA - Imperial / Double New England,8.1,,4.27,118
41,Sneaky-Hazy TGIF,IPA - American,7.0,,4.25,24
41,Summer School,IPA - Imperial / Double New England,8.0,,4.23,68
41,"It’s Probably Awesome ... 8 (Strata, Idaho 7 & Equanot)",IPA - American,6.7,,4.2,38
42,Excuse To Let Loose,IPA - Imperial / Double New England,8.5,,4.33,125
42,Bourbon Barrel Aged Coffee Milk Stout,Stout - Imperial / Double,5.9,,4.27,34
42,Viking Candy (Batch #2),IPA - New England,6.5,,4.27,28
42,Late-Night Lookout,IPA - Imperial / Double New England,8.2,,4.26,138
42,Black Is Beautiful,Stout - Imperial / Double Coffee,9.0,,4.2,71
43,Piper Down,Scotch Ale / Wee Heavy,10.5,32.0,3.96,12
43,Bettie,Belgian Dubbel,8.14,20.0,3.92,135
43,Slam Dunkel,Dunkelweizen,,,3.9,12
43,The Frenchie,Bière de Champagne / Bière Brut,7.4,,3.87,19
43,Helles On Wheels,Lager - Helles,5.3,20.0,3.86,53
44,Casca Siris,American Wild Ale,8.8,34.0,4.3,10
44,Hans Trapp,Stout - Imperial / Double,10.2,49.0,4.19,63
44,Mrs. Trapp,Stout - Imperial / Double,10.2,49.0,4.13,19
44,Rat King,IPA - Imperial / Double,9.1,96.0,4.07,129
44,Megs' Willy Nilly,Other,4.8,24.0,4.0,37
45,Juniper IPA,IPA - Farmhouse,6.5,,3.87,38
45,Amber Ale,Red Ale - American Amber / Red,5.0,,3.8,70
45,Peach Berliner Weiss,Sour - Fruited Berliner Weisse,3.6,,3.8,33
45,Fresh Fig IPA,IPA - Farmhouse,5.6,,3.77,34
45,Hazy Shade of Winter,Pale Ale - New England,6.1,,3.77,51
46,Kick Out the Yams,Pumpkin / Yam Beer,6.6,,4.08,98
46,Barrel Aged Winter Warmer,Winter Warmer,7.2,45.0,3.95,17
46,Jittery Mule,Dunkelweizen,5.0,,3.91,29
46,Barrel-Aged Farm Stuff,Farmhouse Ale - Saison,6.3,32.0,3.89,11
46,Wombat,Winter Warmer,7.5,43.0,3.84,33
47,Sally Skull,Lager - IPL (India Pale Lager),7.0,80.0,4.11,37
47,"Crane Kick ""To The Face"" - PB&J Stout (NITRO)",Stout - American,8.0,,3.98,30
47,Sweep the Leg (The Elvis) Peanut Butter And Banana Stout,Stout - Other,,,3.87,54
47,Invader Coffee Stout,Stout - Coffee,8.0,35.0,3.86,138
47,Super Turtle Stout,Stout - Other,8.0,,3.84,11
48,Atrial Rubicite (Blend 10),American Wild Ale,6.9,,4.68,673
48,Sherry Barrel Atrial Rubicite,American Wild Ale,7.0,7.0,4.67,1200
48,SPON Blueberry & Pitaya (2019),Lambic - Fruit,5.7,,4.53,15
48,Montmorency Vs. Balaton (Blend 7),American Wild Ale,6.1,,4.5,160
48,Atrial Rubicite,American Wild Ale,5.8,,4.5,9473
49,Whiskey Barrel Aged Imperial Milk Stout,Stout - Imperial / Double Milk,9.0,30.0,4.21,12
49,Whiskey Barrel Aged Oatmeal Stout,Stout - Oatmeal,7.0,32.0,4.11,47
49,Whiskey Barrel Aged Double IPA,IPA - Imperial / Double,10.0,9.0,4.1,70
