,Brewery_ID,Name,Type,ABV,IBU,Rating,Rating_Count
161,32,Buda-ful Blonde,Blonde Ale,5.3,25.0,3.58,477
162,32,XLerated American Lager,Lager - American Light,5.6,15.0,3.64,456
163,32,Turbulent Joose,IPA - Imperial / Double Milkshake,8.3,55.0,3.78,425
164,32,Azaccalypse Now!,Pale Ale - American,6.0,40.0,3.67,380
165,33,Calcifer,IPA - New England,6.66,,4.33,134
166,33,Low-key Loki,IPA - New England,7.0,,4.03,137
167,33,Sjöfn,Farmhouse Ale - Saison,5.5,,4.06,105
168,33,Dreamland,IPA - Milkshake,4.3,,3.81,99
169,33,Double Low Key Loki With Galaxy and Enigma,IPA - Imperial / Double New England,9.0,,4.21,102
170,34,Spirit Animal,Sour - Other,5.1,35.0,3.73,11944
171,34,Professor Black,Sour - Other,6.1,40.0,3.73,10843
172,34,Little Boss,Sour - Other,3.8,7.0,3.61,8539
173,34,Van Dayum!,Sour - Other,5.7,32.0,3.66,8080
174,34,Dapper Devil,Sour - Other,9.0,30.0,3.86,4529
175,35,Mosaic IPA,IPA - American,6.0,50.0,3.74,187
176,35,Pale Ale,Pale Ale - American,5.5,25.0,3.59,143
177,35,Czech Pilsner,Pilsner - Czech,5.5,50.0,3.44,98
178,35,American Lager,Lager - American,5.2,,3.56,79
179,35,Citra Pale Ale,Pale Ale - American,5.5,,3.7,70
180,36,Noisy Cricket,IPA - Session / India Session Ale,4.7,,3.6,6382
181,36,Fresh Coast IPA,IPA - American,7.5,,3.7,4164
182,36,Springdale,Wheat Beer - Witbier,6.0,,3.59,1970
183,36,Urban Chicken,Farmhouse Ale - Saison,4.9,29.0,3.48,1608
184,36,Govalle,IPA - American,6.8,,3.67,1036
185,37,Violet the Blueberry Blonde,Fruit Beer,5.1,15.0,3.71,2550
186,37,Wooderson the Ageless Outlaw IPA,IPA - American,6.5,38.0,3.65,2428
187,37,Shamus The Fiddler Irish Red,Red Ale - Irish,5.2,23.0,3.6,2085
188,37,Hi-C IPA,IPA - New England,6.9,,3.82,1577
189,37,Christie The American Blonde,Blonde Ale,5.6,,3.56,1052
190,38,The One They Call Zoe,Lager - Pale,5.2,18.0,3.66,16529
191,38,A Pale Mosaic,IPA - American,5.93,60.0,3.85,13665
192,38,Greenhouse IPA,IPA - American,7.6,71.0,3.77,8498
193,38,Porter Culture,Porter - Baltic,6.6,35.0,3.79,7172
194,38,Haze County,IPA - Imperial / Double,8.2,65.0,3.85,7025
195,39,40 Days & 40 Nights,IPA - American,7.5,,3.83,4817
196,39,Double Predestination,IPA - Imperial / Double,8.3,,3.83,3050
197,39,Amandus,Belgian Strong Golden Ale,8.2,,3.8,2284
